PA Code,NSC Code,NCES Code,AUN Code,ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Phasing-In ,Phasing-Out,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School,CTE Status,Title I Designation,Federal Accountability Designation,City Council District,Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Website,School Leader Name,Learning Network,Assistant Superintendent,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,lon,lat,attendance,el_cat,hi_cat
3782,N/A,4.21899E+11,126515001,1260,126,"COMEGYS, BENJAMIN B. SCHOOL",Benjamin B. Comegys School,Comegys,1911,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,5100 GREENWAY AVE.,PHILADELPHIA,PA,19143,215-727-2162,215-727-2329,www.philasd.org/schools/comegys,RAUCHAUN DUPREE,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2159995,39.9407758,569,TRUE,FALSE
7706,N/A,4.21899E+11,126515001,1280,128,PENN ALEXANDER SCHOOL,Sadie Alexander School,Penn Alexander,2001,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,4209 SPRUCE ST.,PHILADELPHIA,PA,19104,215-823-5465,215-382-2031,www.philasd.org/schools/pennalexander,MICHAEL FARRELL,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2082387,39.9531373,556,TRUE,FALSE
5185,N/A,4.21899E+11,126515001,1290,129,"HAMILTON, ANDREW SCHOOL",Andrew Hamilton School,Hamilton,1970,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,5640 SPRUCE ST.,PHILADELPHIA,PA,19139,215-471-2911,215-471-2724,www.philasd.org/schools/hamilton,LETA JOHNSON-GARNER,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2353265,39.955223,571,TRUE,FALSE
6528,N/A,4.21899E+11,126515001,1300,130,"HARRINGTON, AVERY D. SCHOOL",Avery D. Harrington School,Harrington,1927,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,5300 BALTIMORE AVE.,PHILADELPHIA,PA,19143,215-471-2914,215-471-5087,www.philasd.org/schools/harrington,MARY DIGIACOMO,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2303033,39.9474537,545,TRUE,FALSE
6530,N/A,4.21899E+11,126515001,1340,134,"LEA, HENRY C.",Henry C. Lea School,Lea,1914,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,4700 LOCUST ST.,PHILADELPHIA,PA,19139,215-471-2915,215-471-4355,www.philasd.org/schools/lea,"SHAVON SAVAGE, JENNIFER DUFFY",NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2163432,39.9543762,569,TRUE,FALSE
6533,N/A,4.21899E+11,126515001,1350,135,"LONGSTRETH, WILLIAM C. SCHOOL",William C. Longstreth School,Longstreth,1971,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,5700 WILLOWS AVE.,PHILADELPHIA,PA,19143,215-727-2158,215-727-2260,www.philasd.org/schools/longstreth,ROBIN COOPER,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2324619,39.9406011,557,TRUE,FALSE
3611,N/A,4.21899E+11,126515001,1360,136,"MC MICHAEL, MORTON SCHOOL",Morton McMichael School,McMichael,1963,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,TURNAROUND,2013-2014,N/A,N/A,1,PRIORITY,3,N/A,3543 FAIRMOUNT AVE.,PHILADELPHIA,PA,19104,215-823-8205,215-386-3549,www.philasd.org/schools/mcmichael,BRIAN WALLACE,TURNAROUND NETWORK,ERIC BECOATS,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.1942992,39.9666959,412,TRUE,FALSE
3798,N/A,4.21899E+11,126515001,1370,137,MITCHELL ELEMENTARY SCHOOL,S. Weir Mitchell School,Mitchell,1916,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,TURNAROUND,2016-2017,N/A,N/A,1,FOCUS,3,N/A,5500 KINGSESSING AVE.,PHILADELPHIA,PA,19143,215-727-2160,215-727-2218,www.philasd.org/schools/mitchell,STEPHANIE ANDREWLEVICH,TURNAROUND NETWORK,ERIC BECOATS,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.223293,39.93701,666,TRUE,FALSE
6535,N/A,4.21899E+11,126515001,1380,138,"MORTON, THOMAS G. SCHOOL",Thomas G. Morton School,Morton,1971,ELEMENTARY,NEIGHBORHOOD,'00-05',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,2501 S. 63RD ST.,PHILADELPHIA,PA,19142,215-727-2164,215-727-2341,www.philasd.org/schools/morton,CAROLYN ALLEN GLASS,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,0,0,0,0,0,0,0,-75.226956,39.9239073,701,TRUE,FALSE
3783,N/A,4.21899E+11,126515001,1390,139,"POWEL, SAMUEL SCHOOL",Samuel Powel School,Powel,1961,ELEMENTARY,NEIGHBORHOOD,'00-04',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,301 N. 36TH ST.,PHILADELPHIA,PA,19104,215-823-8201,215-823-8215,www.philasd.org/schools/powel,KIMBERLY ELLERBEE,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,0,0,0,0,0,0,0,0,-75.1936401,39.9603393,287,TRUE,FALSE
3613,N/A,4.21899E+11,126515001,1400,140,"PATTERSON, JOHN M. SCHOOL",John M. Patterson School,Patterson,1921,ELEMENTARY,NEIGHBORHOOD,'00-04',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,7000 BUIST AVE.,PHILADELPHIA,PA,19142,215-492-6453,215-492-6827,www.philasd.org/schools/patterson,KENNETH JESSUP,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,0,0,0,0,0,0,0,0,-75.2367621,39.9162271,679,TRUE,FALSE
3614,N/A,4.21899E+11,126515001,1410,141,"RHOADS, JAMES SCHOOL",James Rhoads School,Rhoads,1960,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,4901 PARRISH ST.,PHILADELPHIA,PA,19139,215-581-5504,215-581-3405,www.philasd.org/schools/rhoads,JOE DIXON,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2200957,39.9673896,491,TRUE,FALSE
3615,N/A,4.21899E+11,126515001,1420,142,"WASHINGTON, MARTHA SCHOOL",Martha Washington School,Martha Washington,1930,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,766 N. 44TH ST.,PHILADELPHIA,PA,19104,215-823-8203,215-823-8292,www.philasd.org/schools/marthawashington,ALLAYNA RATLIFF,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.211263,39.9662693,437,TRUE,FALSE
3616,N/A,4.21899E+11,126515001,1440,144,PENROSE SCHOOL,Penrose School,Penrose,1971,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,2515 S. 78TH ST.,PHILADELPHIA,PA,19153,215-492-6455,215-492-6985,www.philasd.org/schools/penrose,HUIE DOUGLAS,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2475259,39.9078871,614,TRUE,FALSE
3804,N/A,4.21899E+11,126515001,1460,146,"ANDERSON, ADD B. SCHOOL",Add B. Anderson School,Anderson,1963,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,1034 S. 60TH ST.,PHILADELPHIA,PA,19143,215-471-2903,215-471-6718,www.philasd.org/schools/anderson,LAURENA TOLSON,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2454354,39.9467338,561,TRUE,FALSE
4732,N/A,4.21899E+11,126515001,1470,147,"LOCKE, ALAIN SCHOOL",Alain Locke School,Locke,1964,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,PRIORITY,3,N/A,4550 HAVERFORD AVE.,PHILADELPHIA,PA,19139,215-823-8202,215-823-5721,www.philasd.org/schools/locke,KATHERINE MCKELLAR CARTER,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2125349,39.962158,454,TRUE,FALSE
3663,N/A,4.21899E+11,126515001,1490,149,"BLANKENBURG, RUDOLPH SCHOOL",Rudolph Blankenburg School,Blankenburg,1925,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,4,N/A,4600 W. GIRARD AVE.,PHILADELPHIA,PA,19131,215-581-5505,215-581-5922,www.philasd.org/schools/blankenburg,KELLY PARKER,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2147231,39.972492,521,TRUE,FALSE
7022,N/A,4.21899E+11,126515001,1580,158,MYA-MIDDLE YEARS ALTERNATIVE,Middle Years Alternative School,MYA,1972,MIDDLE,CITYWIDE,'05-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,4725 FAIRMOUNT AVE.,PHILADELPHIA,PA,19139,215-581-5633,215-581-5668,www.philasd.org/schools/mya,SHAKAE DUPRE,AUTONOMY NETWORK,JURATE KROKYS,0,0,0,0,0,1,1,1,1,0,0,0,0,-75.2158736,39.9646988,239,TRUE,FALSE
3859,393510,4.21899E+11,126515001,2.00E+03,200,SOUTH PHILADELPHIA H.S.,South Philadelphia High School,South Philadelphia,1957,HIGH,NEIGHBORHOOD,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,2016-2017,PROGRAMS,1,PRIORITY,1,N/A,2101 S. BROAD ST.,PHILADELPHIA,PA,19148,215-400-8400,215-400-8401,www.philasd.org/schools/southphila,KIMLIME CHEK-TAYLOR,NEIGHBORHOOD NETWORK 1,DEB CARRERA,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.1687789,39.9237005,732,FALSE,TRUE
3851,393245,4.21899E+11,126515001,2010,201,"FRANKLIN, BENJAMIN HIGH SCHOOL",Benjamin Franklin High School,Franklin HS,1958,HIGH,NEIGHBORHOOD,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,PROGRAMS,1,PRIORITY,5,N/A,550 N. BROAD ST.,PHILADELPHIA,PA,19130,215-299-4662,215-299-7285,www.philasd.org/schools/benfranklin,ABDUL-MUBDI MUHAMMAD,NEIGHBORHOOD NETWORK 3,SONYA HARRISON,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.1620169,39.9635895,625,FALSE,TRUE
6996,393341,4.21899E+11,126515001,2020,202,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts School,CAPA,1997,HIGH,SPECIAL ADMIT,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,PROGRAMS,1,REWARD (HIGH ACHIEVEMENT),2,N/A,901 S. BROAD ST.,PHILADELPHIA,PA,19147,215-952-2462,215-952-6472,www.philasd.org/schools/capa,JOANNE BEAVER,AUTONOMY NETWORK,JURATE KROKYS,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.1652659,39.939394,710,FALSE,TRUE
8387,N/A,N/A,126515001,2050,205,SCIENCE LEADERSHIP ACADEMY MS,Science Leadership Academy Middle School,SLAMS,2016,MIDDLE,NEIGHBORHOOD,'05-05','05-08',1,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3509 SPRING GARDEN ST.,PHILADELPHIA,PA,19104,215-400-8320,N/A,www.slamiddle.org/,TIMOTHY BOYLE,INNOVATION NETWORK,CHRIS LEHMANN,0,0,0,0,0,1,0,0,0,0,0,0,0,-75.1936918,39.9629235,885,TRUE,FALSE
3808,393356,4.21899E+11,126515001,2140,214,"MASTERMAN,JULIA R. HIGH SCHOOL",Julia R. Masterman School,Masterman,1933,MIDDLEHIGH,SPECIAL ADMIT,'05-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,REWARD (HIGH ACHIEVEMENT),5,N/A,1699 SPRING GARDEN ST.,PHILADELPHIA,PA,19130,215-299-4661,215-299-3425,www.philasd.org/schools/masterman,JESSICA BROWN,AUTONOMY NETWORK,JURATE KROKYS,0,0,0,0,0,1,1,1,1,1,1,1,1,-75.1656874,39.9635095,1185,FALSE,TRUE
3818,393319,4.21899E+11,126515001,2160,216,"FURNESS, HORACE HIGH SCHOOL",Furness High School,Furness,1912,HIGH,NEIGHBORHOOD,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,PROGRAMS,1,PRIORITY,1,N/A,1900 S. 3RD ST.,PHILADELPHIA,PA,19148,215-952-6226,215-952-8635,www.philasd.org/schools/furness,DANIEL PEOU,NEIGHBORHOOD NETWORK 3,SONYA HARRISON,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.1507073,39.9237914,668,FALSE,TRUE
7226,N/A,4.21899E+11,126515001,2190,219,"FELL, D. NEWLIN SCHOOL",D. Newlin Fell School,Fell,1924,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,900 W. OREGON AVE.,PHILADELPHIA,PA,19148,215-952-6237,215-952-6239,www.philasd.org/schools/dnfell,OMAHR ASHE,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.1634761,39.9150867,555,TRUE,FALSE
3618,N/A,4.21899E+11,126515001,2210,221,BACHE-MARTIN SCHOOL,Bache-Martin School,Bache-Martin,1906,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,2201 BROWN ST.,PHILADELPHIA,PA,19130,215-684-5074,215-684-5446,www.philasd.org/schools/bachemartin,MARK VITVITSKY,NEIGHBORHOOD NETWORK 3,SONYA HARRISON,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.1734168,39.9698644,481,TRUE,FALSE
3620,N/A,4.21899E+11,126515001,2240,224,"BREGY, F. AMEDEE SCHOOL",F. Amedee Bregy School,Bregy,1923,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,1700 BIGLER ST.,PHILADELPHIA,PA,19145,215-952-6218,215-952-0858,www.philasd.org/schools/bregy,SHAKEERA WARTHEN,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.176791,39.9141503,467,TRUE,FALSE
3622,N/A,4.21899E+11,126515001,2260,226,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,Childs,1927,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,1599 WHARTON ST.,PHILADELPHIA,PA,19146,215-952-6213,215-952-6443,www.philasd.org/schools/childs,EILEEN COUTTS,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.1706487,39.93492,630,TRUE,FALSE
6822,393311,4.21899E+11,126515001,2290,229,FRANKLIN LEARNING CENTER,Franklin Learning Center,FLC,1978,HIGH,SPECIAL ADMIT,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,PROGRAMS,1,REWARD (HIGH ACHIEVEMENT),5,N/A,616 N. 15TH ST.,PHILADELPHIA,PA,19130,215-684-5916,215-684-8969,www.flc.phila.k12.pa.us,JOYCE HOOG,AUTONOMY NETWORK,JURATE KROKYS,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.1627975,39.9650593,868,FALSE,TRUE
3776,N/A,4.21899E+11,126515001,2320,232,"GIRARD, STEPHEN SCHOOL",Stephen Girard School,Girard,1959,ELEMENTARY,NEIGHBORHOOD,'00-04',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,FOCUS,2,N/A,1800 SNYDER AVE.,PHILADELPHIA,PA,19145,215-952-8554,215-952-6397,www.philasd.org/schools/girard,THOMAS KOGER,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,0,0,0,0,0,0,0,0,-75.1769469,39.9245552,600,TRUE,FALSE
3648,N/A,4.21899E+11,126515001,2340,234,"MC CALL, GEN. GEORGE A. SCHOOL",General George A. McCall School,McCall,1909,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,REWARD (HIGH PROGRESS),1,N/A,325 S. 7TH ST.,PHILADELPHIA,PA,19106,215-351-7350,215-351-7349,www.philasd.org/schools/mccall,SHEILA WEISBERG,NEIGHBORHOOD NETWORK 3,SONYA HARRISON,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.1525771,39.944574,701,TRUE,FALSE
3629,N/A,4.21899E+11,126515001,2370,237,"MCDANIEL, DELAPLAINE SCHOOL",Delaplaine McDaniel School,McDaniel,1937,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,PRIORITY,2,N/A,1801 S. 22ND ST.,PHILADELPHIA,PA,19145,215-952-6380,215-952-6379,www.philasd.org/schools/mcdaniel,LACHANTE COLLIER-BACON,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.1817583,39.9295827,726,TRUE,FALSE
